ID,Title,Image URL,Style,Category,Artist,Year,agreeableness,anger,anticipation,arrogance,disagreeableness,disgust,fear,gratitude,happiness,humility,love,optimism,pessimism,regret,sadness,shame,shyness,surprise,trust,neutral,Image Name
58c6237dedc2c9c7dc0de1ae,In the Luxembourg Garden,https://use2-uploads3.wikiart.org/00123/images/charles-courtney-curran/in-the-luxembourg-garden-1889.jpg,Modern Art,Impressionism,Charles Courtney Curran,1889,0.06,0.012,0.071,0.024,0.012,0.0,0.012,0.119,0.726,0.369,0.25,0.274,0.012,0.0,0.131,0.0,0.024,0.024,0.25,0.0,0.jpg
577280dfedc2cb3880f28e76,The Marriage of Heaven and Hell,https://use2-uploads1.wikiart.org/images/keith-haring/the-marriage-of-heaven-and-hell-1984.jpg,Modern Art,Neo-Expressionism,Keith Haring,1984,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.0,0.1,0.1,0.0,0.2,0.2,0.1,0.2,0.0,0.0,0.5,0.0,0.0,1.jpg
57727f2dedc2cb3880ed5fa9,Uncle Piacsek in front of the Black Sideboard,https://use2-uploads3.wikiart.org/images/j-zsef-rippl-r-nai/uncle-piacsek-in-front-of-the-black-sideboard-1906.jpg,Modern Art,Post-Impressionism,Jozsef Rippl-Ronai,1906,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,2.jpg
58d1240cedc2c94f900fc610,Monk. For the Play Mazeppa,https://use2-uploads2.wikiart.org/00124/images/vadym-meller/monk-for-the-play-mazeppa-1920.jpg,Modern Art,Cubism,Vadym Meller,1920,0.0,0.0,0.091,0.0,0.0,0.091,0.0,0.0,0.091,0.091,0.0,0.0,0.182,0.0,0.364,0.0,0.0,0.273,0.0,0.0,3.jpg
57727de7edc2cb3880e91f26,The Defence of Saragoa,https://use2-uploads6.wikiart.org/images/david-wilkie/the-defence-of-sarago-a.jpg,Post Renaissance Art,Romanticism,David Wilkie,1828,0.077,0.077,0.077,0.231,0.308,0.308,0.308,0.231,0.154,0.077,0.077,0.231,0.231,0.077,0.231,0.154,0.077,0.154,0.231,0.0,4.jpg
57728297edc2cb3880f81f5b,"In a Village Near Paris (Street in Paris, Pink Sky)",https://use2-uploads4.wikiart.org/images/lyonel-feininger/in-a-village-near-paris-street-in-paris-pink-sky-1909.jpg,Modern Art,Expressionism,Lyonel Feininger,1909,0.045,0.0,0.149,0.015,0.03,0.045,0.16399999999999998,0.03,0.284,0.194,0.015,0.134,0.06,0.03,0.119,0.03,0.0,0.299,0.06,0.0,5.jpg
5772797dedc2cb3880db5504,Last Supper,https://use2-uploads1.wikiart.org/images/nikolai-ge/last-supper.jpg,Post Renaissance Art,Realism,Nikolai Ge,1863,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.1,0.3,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,6.jpg
57726e48edc2cb3880b69b14,Spring,https://use2-uploads7.wikiart.org/images/charles-francois-daubigny/spring-1857.jpg,Post Renaissance Art,Realism,Charles-Francois Daubigny,1857,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.8,0.5,0.1,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,7.jpg
57728255edc2cb3880f7644a,Mirror and Crushed Shells,https://use2-uploads7.wikiart.org/images/robert-smithson/mirror-and-crushed-shells-1969.jpg,Contemporary Art,Minimalism,Robert Smithson,1969,0.083,0.083,0.333,0.0,0.0,0.083,0.0,0.083,0.0,0.083,0.0,0.0,0.083,0.0,0.0,0.083,0.0,0.5,0.0,0.083,8.jpg
5772843bedc2cb3880fd334d,One Ton Prop (House of Cards),https://use2-uploads7.wikiart.org/images/richard-serra/one-ton-prop-house-of-cards-1969.jpg,Contemporary Art,Minimalism,Richard Serra,1969,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.6,0.0,0.2,9.jpg
